filename,status,rows,csv_path,error
ShardPrice.djb,ok,220,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/ShardPrice.csv,
ShopAdvertisement.djb,ok,6,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/ShopAdvertisement.csv,
ShopEventItemInfo.djb,ok,18,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/ShopEventItemInfo.csv,
Skin.djb,ok,13,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Skin.csv,
SkinResourceMap.djb,ok,47,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/SkinResourceMap.csv,
SoundFileList.djb,ok,342,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/SoundFileList.csv,
SpecialGameRule.djb,ok,1755,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/SpecialGameRule.csv,
StaffEvent.djb,ok,4,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/StaffEvent.csv,
StaffEventReward.djb,ok,224,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/StaffEventReward.csv,
StageScenarioList.djb,ok,41,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/StageScenarioList.csv,
StageThemeData.djb,ok,19,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/StageThemeData.csv,
StuffLevelTreasureReward.djb,ok,192,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/StuffLevelTreasureReward.csv,
TextureInfo.djb,ok,176,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TextureInfo.csv,
TreasureBlessPrice.djb,ok,1,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TreasureBlessPrice.csv,
TreasureConsumeInfo.djb,ok,14,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TreasureConsumeInfo.csv,
TreasureGrade.djb,ok,1116,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TreasureGrade.csv,
TreasureGroup.djb,ok,1116,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TreasureGroup.csv,
TreasureItemData.djb,ok,11078,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TreasureItemData.csv,
TreasureItemDataList.djb,ok,12204,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TreasureItemDataList.csv,
TreasureMagicPrice.djb,ok,8,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TreasureMagicPrice.csv,
TreasurePassiveAttr.djb,ok,2332,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TreasurePassiveAttr.csv,
TreasureProbGroup.djb,ok,2002,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TreasureProbGroup.csv,
TreasureProbSet.djb,ok,2057,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TreasureProbSet.csv,
TreasureRecipe.djb,ok,256,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TreasureRecipe.csv,
TreasureRecipeProb.djb,ok,40,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TreasureRecipeProb.csv,
TreasureUpgradePrice.djb,ok,120,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TreasureUpgradePrice.csv,
TreasureUpgradeProb.djb,ok,162,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TreasureUpgradeProb.csv,
TutorialDataTypeList.djb,ok,15,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TutorialDataTypeList.csv,
TutorialEventList.djb,ok,95,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TutorialEventList.csv,
TutorialFoolEventList.djb,ok,31,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TutorialFoolEventList.csv,
TutorialFoolStageScenarioList.djb,ok,4,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TutorialFoolStageScenarioList.csv,
TutorialStageScenarioList.djb,ok,4,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/TutorialStageScenarioList.csv,
UnlockCondition.djb,ok,220,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/UnlockCondition.csv,
UnlockConditionList.djb,ok,239,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/UnlockConditionList.csv,
WeeklyRankReward.djb,ok,64,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/WeeklyRankReward.csv,
winCountRank.djb,ok,29,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/winCountRank.csv,
